Final number of Monte Carlo trials: 5000, and temperature: 2.40000
     Energy:      abs(Magnetization):    No of accepted moves: 
     -1.2235372     0.45084441          81715
     -1.2232138     0.45061089          81861
     -1.2228780     0.45035146          82007
     -1.2225166     0.45025166          82173
     -1.2222884     0.45011243          82319
     -1.2221797     0.44997358          82439
     -1.2221108     0.44985488          82566
     -1.2220422     0.44981555          82660
     -1.2218421     0.44964474          82778
     -1.2216951     0.44944152          82903
     -1.2217060     0.44910105          83026
     -1.2216776     0.44865007          83127
     -1.2215052     0.44817408          83239
     -1.2215033     0.44771895          83352
     -1.2214230     0.44724543          83469
     -1.2211082     0.44683833          83581
     -1.2208073     0.44641927          83717
     -1.2207802     0.44607932          83851
     -1.2204545     0.44561688          83992
     -1.2202724     0.44516861          84110
     -1.2204534     0.44479922          84216
     -1.2204528     0.44440492          84304
     -1.2204005     0.44400517          84409
     -1.2204258     0.44359355          84509
     -1.2204253     0.44313144          84621
     -1.2202831     0.44258044          84739
     -1.2200514     0.44213368          84875
     -1.2198845     0.44175866          85016
     -1.2197051     0.44132692          85151
     -1.2193982     0.44099872          85297
     -1.2191432     0.44058184          85441
     -1.2188123     0.44019157          85593
     -1.2185077     0.43979592          85718
     -1.2182038     0.43936306          85852
     -1.2179517     0.43890585          86008
     -1.2177510     0.43846252          86164
     -1.2174112     0.43798858          86305
     -1.2174398     0.43757921          86449
     -1.2175316     0.43718987          86570
     -1.2175095     0.43682048          86677
     -1.2174495     0.43642045          86780
     -1.2173014     0.43611602          86903
     -1.2170655     0.43574307          87020
     -1.2167044     0.43535220          87165
     -1.2164322     0.43498744          87339
     -1.2161230     0.43464868          87487
     -1.2159524     0.43432957          87628
     -1.2157447     0.43403630          87778
     -1.2156750     0.43379375          87894
     -1.2155930     0.43365793          88011
     -1.2152369     0.43349751          88167
     -1.2149689     0.43342466          88301
     -1.2147388     0.43338930          88443
     -1.2143975     0.43342857          88591
     -1.2139950     0.43344293          88747
     -1.2136555     0.43342627          88888
     -1.2133663     0.43337871          89029
     -1.2131520     0.43329419          89171
     -1.2129136     0.43321605          89302
